bolge,eleman,aciklama,deger_m,ikinci_deger_m,kaynak,guven,tarih,not
peron,platform_width,Peron genişliği (kenar-kenar),,,,,,
peron,platform_length,Peron boyu (hat ekseni Z boyunca),,,,,,
peron,platform_height,Ray üst kotundan peron yüzeyine yükseklik,,,,,,
peron,track_gauge,İki ray merkezi arası açıklık (nominal 1.435),,,,,,
peron,track_center_to_platform_edge,Ray merkezi ile peron kenarı arası,,,,,,
peron,ceiling_height,Peron tavan yüksekliği (peron yüzeyinden),,,,,,
peron,column_spacing_longitudinal,Kolon aralığı - hat boyunca,,,,,,
peron,column_spacing_transverse,Kolon aralığı - enine,,,,,,
peron,column_size_w,Kolon kesiti genişliği,,,,,,
peron,column_size_d,Kolon kesiti derinliği,,,,,,
peron,door_module_width,Peron kapı modülü genişliği,,,,,,
peron,sign_bottom_height,Tabela alt kenar yüksekliği,,,,,,
tunel,tunnel_width,Tünel kesiti genişliği,,,,,,
tunel,tunnel_height,Tünel kesiti yüksekliği,,,,,,
tunel,tunnel_wall_thickness,Tünel duvar kalınlığı,,,,,,
dusey,stair_width,Merdiven kol genişliği,,,,,,
dusey,stair_riser,Basamak yüksekliği (rıht),,,,,,
dusey,stair_tread,Basamak derinliği,,,,,,
dusey,stair_step_count,Toplam basamak sayısı,,,,,,
dusey,escalator_width,Yürüyen merdiven bant genişliği,,,,,,
dusey,escalator_incline_length,Yürüyen merdiven eğik boyu,,,,,,
dusey,escalator_angle_deg,Yürüyen merdiven eğim açısı (derece),,,,,,
dusey,lift_car_width,Asansör kabin genişliği,,,,,,
dusey,lift_car_depth,Asansör kabin derinliği,,,,,,
gise,hall_width,Gişe holü genişliği,,,,,,
gise,hall_ceiling_height,Gişe holü tavan yüksekliği,,,,,,
gise,fare_gate_count,Turnike sayısı (İBB açık veri ile teyit),,,,,,
gise,ticket_machine_count,Bilet makinesi sayısı (İBB açık veri ile teyit),,,,,,
gise,escalator_count,Yürüyen merdiven sayısı (İBB açık veri ile teyit),,,,,,
gise,lift_count,Asansör sayısı (İBB açık veri ile teyit),,,,,,
cikis,exit_tunnel_count,İstasyon çıkış sayısı,,,,,,
cikis,exit_passage_width,Çıkış koridoru genişliği,,,,,,
ray,track_chainage_kadikoy,İstasyonun hat üzerindeki chainage değeri (Kadıköy = 0),,,,,,
ray,interstation_distance_next,Kadıköy - Ayrılık Çeşmesi arası hat uzunluğu,,,,,,
